ticker,name,exchange,sector,industry,market_cap_b,indices,added_date,data_source,active
A,"Agilent Technologies, Inc.",NYSE,Healthcare,Diagnostics & Research,38.4,sp500,2026-04-10,numerai,True
AA,Alcoa Corporation Common Stock,NYSE,Basic Materials,Aluminum,19.3,nyse,2026-04-10,numerai,True
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,Industrials,Airlines,7.5,nasdaq,2026-04-10,numerai,True
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,Financial Services,Asset Management,2.2,nyse,2026-04-10,yfinance,True
AAON,"AAON, Inc. - Common Stock",NASDAQ,Industrials,Building Products & Equipment,7.4,nasdaq,2026-04-10,numerai,True
AAP,Advance Auto Parts Inc.,NYSE,Consumer Cyclical,Auto Parts,3.3,nyse,2026-04-10,numerai,True
AAPL,Apple Inc.,NASDAQ,Technology,Consumer Electronics,3846.8,"sp500,nasdaq,dow",2026-04-10,numerai,True
AAT,"American Assets Trust, Inc. Common Stock",NYSE,Real Estate,REIT - Diversified,1.5,nyse,2026-04-10,yfinance,True
AAUC,Allied Gold Corporation Common Shares,NYSE,Basic Materials,Gold,4.0,nyse,2026-04-10,yfinance,True
AB,AllianceBernstein Holding L.P.  Units,NYSE,Financial Services,Asset Management,3.5,nyse,2026-04-10,yfinance,True
ABBV,AbbVie Inc.,NYSE,Healthcare,Drug Manufacturers - General,310.3,sp500,2026-04-10,numerai,True
ABCB,Ameris Bancorp Common Stock,NYSE,Financial Services,Banks - Regional,5.7,nyse,2026-04-10,numerai,True
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,Healthcare,Biotechnology,1.0,nasdaq,2026-04-10,numerai,True
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,Consumer Defensive,Beverages - Brewers,50.1,nyse,2026-04-10,yfinance,True
ABG,Asbury Automotive Group Inc Common Stock,NYSE,Consumer Cyclical,Auto & Truck Dealerships,3.9,nyse,2026-04-10,numerai,True
